activity_metric,chemical_feature,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value,n_samples,correlation_strength,correlation_direction,pearson_corrected_p,spearman_corrected_p
broad_spectrum_index,logp,0.25962379787971324,2.0761563679302748e-44,0.3471971573719712,3.214582644770504e-80,2803,very_weak,positive,,
broad_spectrum_index,tpsa,0.2639036084906945,7.033598598770973e-46,0.38027680112265627,3.9159294260497686e-97,2803,very_weak,positive,,
broad_spectrum_index,num_hbd,0.13610887701843757,4.602515804563958e-13,0.1620988523606732,5.8522106956998844e-18,2803,very_weak,positive,,
broad_spectrum_index,num_hba,0.32546876165658845,3.633396522354462e-70,0.4720146959450769,1.5724973567218493e-155,2803,weak,positive,,
broad_spectrum_index,num_rotatable_bonds,0.30845427336054865,7.535552287914323e-63,0.45393941295948315,1.487794647552889e-142,2803,weak,positive,,
broad_spectrum_index,num_atoms,0.39852535269044576,2.4107585456936736e-107,0.5673880418232667,1.3327385691489942e-238,2803,weak,positive,,
broad_spectrum_index,num_heavy_atoms,0.39852535269044576,2.4107585456936736e-107,0.5673880418232667,1.3327385691489942e-238,2803,weak,positive,,
broad_spectrum_index,num_rings,0.35191354801279345,1.6467158164004734e-82,0.5131829200205013,3.641677869992029e-188,2803,weak,positive,,
broad_spectrum_index,num_aromatic_rings,0.33283973304985903,1.740304943622549e-73,0.4539951675718973,1.3605293051638907e-142,2803,weak,positive,,
broad_spectrum_index,num_aliphatic_rings,0.09616141174437223,3.384679757057255e-07,0.16693034847320648,5.768640152817351e-19,2803,very_weak,positive,,
broad_spectrum_index,num_heteroatoms,0.337291343837959,1.552253468706752e-75,0.4836029510217585,2.8669282467118285e-164,2803,weak,positive,,
broad_spectrum_index,formal_charge,0.03143039719722451,0.09617243557112612,0.05393105013847585,0.004288849605300451,2803,very_weak,positive,,
broad_spectrum_index,fraction_csp3,-0.1741248391613906,1.6070496591499724e-20,-0.08965762897026312,1.991978473538946e-06,2803,very_weak,negative,,
broad_spectrum_index,bertz_complexity,0.3820613899021464,4.194485277145313e-98,0.5587372436272319,6.4223162642913995e-230,2803,weak,positive,,
broad_spectrum_index,balaban_j,-0.29959451014088534,3.163047224788757e-59,-0.43595044781767306,2.146718970424889e-130,2803,very_weak,negative,,
broad_spectrum_index,carbon_count,0.35581448613965694,1.960099910929252e-84,0.4977511491281373,2.094118004631389e-175,2803,weak,positive,,
broad_spectrum_index,nitrogen_count,0.3292923321168151,7.075460429889938e-72,0.45277208357561305,9.637661617757679e-142,2803,weak,positive,,
